Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Main Source
PHILIPPINES,5166.0,14649.0,12811.0,35648.0,9406.0,8561.0,25002.0,16663.0,29946.0,23040.0,33901.0,37101.0,55639.0,39620.0,57819.0,135355.0,117418.0,67699.0,215139.0,113485.0,213930.0,220518.0,152224.0,216190.0,437563.0,88595.0,79592.0,220020.0,71474.0,,,TYCHO-ALL-19242017-SV_DF01-00
PUERTO RICO,6491.0,4631.0,6893.0,17068.0,4959.0,2409.0,5197.0,2883.0,3730.0,3277.0,5682.0,3036.0,10964.0,3319.0,6588.0,21265.0,5623.0,11774.0,18164.0,8880.0,1867.0,168.0,0.0,0.0,47.0,914.0,636.0,1023.0,1292.0,6088.0,,WHOPAHO-ALL-19802024-Y03-00
SAINT BARTHELEMY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0,23.0,40.0,966.0,56.0,428.0,78.0,55.0,0.0,20.0,1616.0,70.0,93.0,762.0,173.0,,WHOPAHO-ALL-19802024-Y03-00
SAINT KITTS AND NEVIS,27.0,6.0,0.0,0.0,1.0,5.0,85.0,20.0,2.0,4.0,0.0,1.0,0.0,49.0,2.0,19.0,46.0,2.0,100.0,75.0,5.0,136.0,10.0,6.0,50.0,20.0,0.0,1.0,316.0,253.0,,WHOPAHO-ALL-19802024-Y03-00
SAINT LUCIA,52.0,65.0,11.0,0.0,3.0,0.0,292.0,51.0,5.0,11.0,1.0,30.0,39.0,98.0,18.0,74.0,757.0,10.0,234.0,167.0,25.0,196.0,66.0,90.0,20.0,1318.0,39.0,15.0,60.0,432.0,,WHOPAHO-ALL-19802024-Y03-00
SAINT MARTIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1698.0,506.0,168.0,372.0,3095.0,404.0,436.0,350.0,197.0,105.0,260.0,2736.0,172.0,35.0,1300.0,624.0,,WHOPAHO-ALL-19802024-Y03-00
SAINT VINCENT AND THE GRENADINES,224.0,190.0,3.0,88.0,8.0,5.0,3.0,123.0,3.0,4.0,8.0,5.0,2.0,6.0,10.0,217.0,47.0,91.0,127.0,117.0,13.0,89.0,3.0,4.0,11.0,1603.0,152.0,25.0,17.0,971.0,,WHOPAHO-ALL-19802024-Y03-00
SINGAPORE,2008.0,3128.0,4300.0,5258.0,1355.0,673.0,2379.0,3947.0,4788.0,9459.0,14209.0,3136.0,8826.0,7032.0,4523.0,5392.0,5266.0,4734.0,22405.0,18326.0,11294.0,13110.0,2838.0,3283.0,16007.0,34959.0,5245.0,31853.0,10243.0,13655.0,1126.0,TYCHO-ALL-19242017-SV_DF01-00
SRI LANKA,440.0,1298.0,981.0,1275.0,1688.0,3343.0,4304.0,8931.0,4749.0,15463.0,5994.0,11980.0,7314.0,6555.0,35010.0,33988.0,27614.0,43783.0,30450.0,45535.0,27702.0,50954.0,176272.0,51320.0,96045.0,32232.0,36120.0,76689.0,88659.0,33236.0,,WHOSEARO-ALL-19852009-Y01-00
SURINAME,344.0,677.0,90.0,1140.0,695.0,1069.0,748.0,1081.0,284.0,368.0,2712.0,253.0,41.0,12.0,120.0,93.0,386.0,781.0,21.0,23.0,15.0,6.0,7.0,123.0,98.0,563.0,10.0,17.0,287.0,95.0,,WHOPAHO-ALL-19802024-Y03-00
TAIWAN,329.0,20.0,19.0,309.0,46.0,118.0,243.0,5113.0,85.0,335.0,193.0,962.0,1937.0,478.0,840.0,1534.0,1543.0,1274.0,596.0,15509.0,43467.0,381.0,10.0,183.0,100.0,73.0,0.0,20.0,26462.0,222.0,,MOH-TWN-19901997-Y02-00
THAILAND,60330.0,38109.0,101689.0,129954.0,24900.0,18617.0,139327.0,114800.0,62767.0,38367.0,45893.0,42456.0,62949.0,89626.0,25194.0,53149.0,29759.0,39321.0,87502.0,23170.0,86953.0,38466.0,31843.0,87212.0,131157.0,72519.0,10617.0,46678.0,159219.0,104681.0,8721.0,TYCHO-ALL-19242017-SV_DF01-00
TRINIDAD AND TOBAGO,4295.0,3983.0,745.0,2984.0,1200.0,2017.0,2158.0,5973.0,2209.0,497.0,411.0,36.0,47.0,2358.0,24.0,4737.0,1242.0,0.0,0.0,148.0,1687.0,1801.0,300.0,123.0,416.0,59.0,20.0,52.0,126.0,2004.0,,WHOPAHO-ALL-19802024-Y03-00
TURKS AND CAICOS ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,5.0,252.0,331.0,484.0,210.0,2.0,32.0,142.0,4.0,3.0,187.0,117.0,,WHOPAHO-ALL-19802024-Y03-00
UNITED STATES OF AMERICA,7.0,0.0,0.0,0.0,0.0,0.0,96.0,29.0,40.0,0.0,0.0,143.0,488.0,0.0,3.0,65.0,7.0,186.0,543.0,668.0,945.0,990.0,453.0,331.0,1158.0,307.0,114.0,1156.0,156.0,3071.0,,WHOPAHO-ALL-19802024-Y03-00
URUGUAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1769.0,0.0,0.0,0.0,4.0,52.0,80.0,48.0,712.0,,WHOPAHO-ALL-19802024-Y03-00
VENEZUELA,26900.0,7500.0,27354.0,31863.0,24028.0,21039.0,82620.0,37507.0,26771.0,29777.0,39517.0,37384.0,74185.0,44399.0,60720.0,113764.0,30135.0,49502.0,63726.0,87529.0,54152.0,29268.0,8688.0,19226.0,16015.0,6721.0,5926.0,11409.0,4809.0,,,WHOPAHO-ALL-19802024-Y03-00
VIET NAM,80447.0,89963.0,108000.0,234920.0,35868.0,25269.0,42878.0,31760.0,49751.0,78692.0,57080.0,68792.0,104553.0,96451.0,105370.0,128831.0,40998.0,82838.0,66322.0,31848.0,97484.0,109649.0,172232.0,131447.0,320702.0,137470.0,68268.0,367729.0,139048.0,108433.0,17126.0,TYCHO-ALL-19242017-SV_DF01-00
VIRGIN ISLANDS (UK),0.0,0.0,0.0,1.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,65.0,9.0,939.0,12.0,223.0,239.0,103.0,100.0,67.0,60.0,79.0,44.0,14.0,27.0,7.0,139.0,,WHOPAHO-ALL-19802024-Y03-00
VIRGIN ISLANDS (US),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,,WHOPAHO-ALL-19802024-Y03-00
